season,month,rows,games,pitchers,parks,earliest_test,latest_common_nuisance_train
2020,7,1735,115,159,9,2020-07-01,2020-06-30
2020,8,1900,119,161,9,2020-08-01,2020-07-31
2020,9,2065,128,170,9,2020-09-01,2020-08-30
2021,6,2023,123,161,9,2021-06-01,2021-05-30
2021,7,277,33,59,8,2021-07-01,2021-06-30
2021,9,1982,131,170,9,2021-09-01,2021-08-31
2022,6,1758,117,148,9,2022-06-01,2022-05-31
2022,7,1447,92,142,9,2022-07-01,2022-06-30
2022,8,1715,109,143,9,2022-08-02,2022-07-31
2022,9,1820,117,159,9,2022-09-01,2022-08-31
2023,6,2047,120,162,9,2023-06-01,2023-05-31
2023,7,1187,79,123,9,2023-07-01,2023-06-30
2023,8,1853,110,151,9,2023-08-01,2023-07-30
2023,9,1695,103,153,9,2023-09-02,2023-08-31
2024,5,2122,122,155,9,2024-05-01,2024-04-30
2024,6,2111,122,161,9,2024-06-01,2024-05-31
2024,7,1599,95,140,9,2024-07-02,2024-06-30
2024,8,1728,106,141,8,2024-08-01,2024-07-31
2024,9,1649,98,162,9,2024-09-01,2024-08-31
2025,5,1929,120,154,8,2025-05-01,2025-04-30
2025,6,1592,99,139,8,2025-06-01,2025-05-31
2025,7,1611,101,145,9,2025-07-01,2025-06-29
2025,8,2144,127,147,9,2025-08-01,2025-07-31
2025,9,1488,89,150,9,2025-09-02,2025-08-31
