season,month,model,centering,metric,n,sse
2020,7,uncorrected,capped_pitch_count,x_cm,1735,64384.10174070606
2020,7,uncorrected,capped_pitch_count,z_cm,1735,22799.24408107002
2020,7,uncorrected,equal_cell,x_cm,1735,62895.78384983807
2020,7,uncorrected,equal_cell,z_cm,1735,22283.920167187076
2020,7,last_month,capped_pitch_count,x_cm,1735,14110.52874825952
2020,7,last_month,capped_pitch_count,z_cm,1735,9242.976461028198
2020,7,last_month,equal_cell,x_cm,1735,13749.051996063423
2020,7,last_month,equal_cell,z_cm,1735,9052.098325857882
2020,7,daily_w84_h7,capped_pitch_count,x_cm,1735,13708.07112138257
2020,7,daily_w84_h7,capped_pitch_count,z_cm,1735,9265.931678136847
2020,7,daily_w84_h7,equal_cell,x_cm,1735,13371.50248999606
2020,7,daily_w84_h7,equal_cell,z_cm,1735,9078.684541797782
2020,8,uncorrected,capped_pitch_count,x_cm,1900,70379.16446784687
2020,8,uncorrected,capped_pitch_count,z_cm,1900,32966.614887325
2020,8,uncorrected,equal_cell,x_cm,1900,68865.66540993447
2020,8,uncorrected,equal_cell,z_cm,1900,32221.222072703218
2020,8,last_month,capped_pitch_count,x_cm,1900,19336.150504465855
2020,8,last_month,capped_pitch_count,z_cm,1900,10783.368322462387
2020,8,last_month,equal_cell,x_cm,1900,18809.644376110933
2020,8,last_month,equal_cell,z_cm,1900,10516.538830428448
2020,8,daily_w84_h7,capped_pitch_count,x_cm,1900,17560.144126223197
2020,8,daily_w84_h7,capped_pitch_count,z_cm,1900,10705.371733630409
2020,8,daily_w84_h7,equal_cell,x_cm,1900,17042.25259561206
2020,8,daily_w84_h7,equal_cell,z_cm,1900,10432.09374009628
2020,9,uncorrected,capped_pitch_count,x_cm,2065,86296.29055951294
2020,9,uncorrected,capped_pitch_count,z_cm,2065,31946.406580998082
2020,9,uncorrected,equal_cell,x_cm,2065,84106.88349935932
2020,9,uncorrected,equal_cell,z_cm,2065,31061.27818075006
2020,9,last_month,capped_pitch_count,x_cm,2065,20041.52426980187
2020,9,last_month,capped_pitch_count,z_cm,2065,13548.130681120481
2020,9,last_month,equal_cell,x_cm,2065,19484.68791093437
2020,9,last_month,equal_cell,z_cm,2065,13126.308770823474
2020,9,daily_w84_h7,capped_pitch_count,x_cm,2065,20229.250626389217
2020,9,daily_w84_h7,capped_pitch_count,z_cm,2065,13180.832938566986
2020,9,daily_w84_h7,equal_cell,x_cm,2065,19648.45843880807
2020,9,daily_w84_h7,equal_cell,z_cm,2065,12764.831125948418
2021,6,uncorrected,capped_pitch_count,x_cm,2023,75112.17722603818
2021,6,uncorrected,capped_pitch_count,z_cm,2023,27518.692800071687
2021,6,uncorrected,equal_cell,x_cm,2023,73507.93268506591
2021,6,uncorrected,equal_cell,z_cm,2023,26867.473458386987
2021,6,last_month,capped_pitch_count,x_cm,2023,17460.30346180223
2021,6,last_month,capped_pitch_count,z_cm,2023,11479.508436075419
2021,6,last_month,equal_cell,x_cm,2023,17070.933816490928
2021,6,last_month,equal_cell,z_cm,2023,11203.653599552901
2021,6,daily_w84_h7,capped_pitch_count,x_cm,2023,17150.39725319938
2021,6,daily_w84_h7,capped_pitch_count,z_cm,2023,11479.865921807948
2021,6,daily_w84_h7,equal_cell,x_cm,2023,16751.230574830828
2021,6,daily_w84_h7,equal_cell,z_cm,2023,11204.451640117088
2021,7,uncorrected,capped_pitch_count,x_cm,277,9132.288480937135
2021,7,uncorrected,capped_pitch_count,z_cm,277,2186.5690438301
2021,7,uncorrected,equal_cell,x_cm,277,8796.600518543673
2021,7,uncorrected,equal_cell,z_cm,277,2110.9995845686917
2021,7,last_month,capped_pitch_count,x_cm,277,1964.7735000494495
2021,7,last_month,capped_pitch_count,z_cm,277,1170.1350788104337
2021,7,last_month,equal_cell,x_cm,277,1888.8406721804981
2021,7,last_month,equal_cell,z_cm,277,1132.2921456681015
2021,7,daily_w84_h7,capped_pitch_count,x_cm,277,1997.6495445379446
2021,7,daily_w84_h7,capped_pitch_count,z_cm,277,1175.1074434210623
2021,7,daily_w84_h7,equal_cell,x_cm,277,1921.5607440018393
2021,7,daily_w84_h7,equal_cell,z_cm,277,1136.7881488888559
2021,9,uncorrected,capped_pitch_count,x_cm,1982,78317.77546479665
2021,9,uncorrected,capped_pitch_count,z_cm,1982,26016.60328254647
2021,9,uncorrected,equal_cell,x_cm,1982,76354.710653422
2021,9,uncorrected,equal_cell,z_cm,1982,25511.65894400607
2021,9,last_month,capped_pitch_count,x_cm,1982,16563.076290957168
2021,9,last_month,capped_pitch_count,z_cm,1982,10346.8647294539
2021,9,last_month,equal_cell,x_cm,1982,16155.176407095449
2021,9,last_month,equal_cell,z_cm,1982,10102.083931466144
2021,9,daily_w84_h7,capped_pitch_count,x_cm,1982,16523.030136253652
2021,9,daily_w84_h7,capped_pitch_count,z_cm,1982,10336.588390992338
2021,9,daily_w84_h7,equal_cell,x_cm,1982,16117.878852058333
2021,9,daily_w84_h7,equal_cell,z_cm,1982,10085.552951410524
2022,6,uncorrected,capped_pitch_count,x_cm,1758,54645.21941158474
2022,6,uncorrected,capped_pitch_count,z_cm,1758,19539.11998576647
2022,6,uncorrected,equal_cell,x_cm,1758,53457.73326238825
2022,6,uncorrected,equal_cell,z_cm,1758,19135.231376171017
2022,6,last_month,capped_pitch_count,x_cm,1758,10443.854136569913
2022,6,last_month,capped_pitch_count,z_cm,1758,7272.291775277679
2022,6,last_month,equal_cell,x_cm,1758,10206.074356185793
2022,6,last_month,equal_cell,z_cm,1758,7089.372528469827
2022,6,daily_w84_h7,capped_pitch_count,x_cm,1758,10364.334501578644
2022,6,daily_w84_h7,capped_pitch_count,z_cm,1758,7234.811787459485
2022,6,daily_w84_h7,equal_cell,x_cm,1758,10128.727318979898
2022,6,daily_w84_h7,equal_cell,z_cm,1758,7051.7243602060635
2022,7,uncorrected,capped_pitch_count,x_cm,1447,39132.801680675846
2022,7,uncorrected,capped_pitch_count,z_cm,1447,18074.92946471119
2022,7,uncorrected,equal_cell,x_cm,1447,37973.4879301555
2022,7,uncorrected,equal_cell,z_cm,1447,17517.468845212323
2022,7,last_month,capped_pitch_count,x_cm,1447,7858.287428098566
2022,7,last_month,capped_pitch_count,z_cm,1447,7053.8767271583
2022,7,last_month,equal_cell,x_cm,1447,7615.683680085065
2022,7,last_month,equal_cell,z_cm,1447,6750.729396428637
2022,7,daily_w84_h7,capped_pitch_count,x_cm,1447,7588.6919483909005
2022,7,daily_w84_h7,capped_pitch_count,z_cm,1447,6862.3817108352305
2022,7,daily_w84_h7,equal_cell,x_cm,1447,7348.763017980997
2022,7,daily_w84_h7,equal_cell,z_cm,1447,6566.825644627849
2022,8,uncorrected,capped_pitch_count,x_cm,1715,52760.97623738137
2022,8,uncorrected,capped_pitch_count,z_cm,1715,20025.34512218042
2022,8,uncorrected,equal_cell,x_cm,1715,51397.637823745266
2022,8,uncorrected,equal_cell,z_cm,1715,19553.057143293554
2022,8,last_month,capped_pitch_count,x_cm,1715,8782.1709002873
2022,8,last_month,capped_pitch_count,z_cm,1715,6880.505282929562
2022,8,last_month,equal_cell,x_cm,1715,8588.076255123775
2022,8,last_month,equal_cell,z_cm,1715,6719.099273194972
2022,8,daily_w84_h7,capped_pitch_count,x_cm,1715,8524.475097510167
2022,8,daily_w84_h7,capped_pitch_count,z_cm,1715,6938.9063363255655
2022,8,daily_w84_h7,equal_cell,x_cm,1715,8316.660291261465
2022,8,daily_w84_h7,equal_cell,z_cm,1715,6766.939665775147
2022,9,uncorrected,capped_pitch_count,x_cm,1820,60242.86851807968
2022,9,uncorrected,capped_pitch_count,z_cm,1820,23338.03191282493
2022,9,uncorrected,equal_cell,x_cm,1820,58899.39286561268
2022,9,uncorrected,equal_cell,z_cm,1820,22722.493728110312
2022,9,last_month,capped_pitch_count,x_cm,1820,10051.855541893463
2022,9,last_month,capped_pitch_count,z_cm,1820,8877.66146199709
2022,9,last_month,equal_cell,x_cm,1820,9846.630161002537
2022,9,last_month,equal_cell,z_cm,1820,8608.670634966093
2022,9,daily_w84_h7,capped_pitch_count,x_cm,1820,10001.597030091254
2022,9,daily_w84_h7,capped_pitch_count,z_cm,1820,8849.065654118032
2022,9,daily_w84_h7,equal_cell,x_cm,1820,9791.432603883652
2022,9,daily_w84_h7,equal_cell,z_cm,1820,8575.005639392555
2023,6,uncorrected,capped_pitch_count,x_cm,2047,72897.81515873133
2023,6,uncorrected,capped_pitch_count,z_cm,2047,20741.88712439726
2023,6,uncorrected,equal_cell,x_cm,2047,71171.97769631367
2023,6,uncorrected,equal_cell,z_cm,2047,20322.988657513546
2023,6,last_month,capped_pitch_count,x_cm,2047,11810.204180488508
2023,6,last_month,capped_pitch_count,z_cm,2047,8437.766208630033
2023,6,last_month,equal_cell,x_cm,2047,11531.38918506579
2023,6,last_month,equal_cell,z_cm,2047,8225.093239548782
2023,6,daily_w84_h7,capped_pitch_count,x_cm,2047,11775.75114507096
2023,6,daily_w84_h7,capped_pitch_count,z_cm,2047,8309.768367257702
2023,6,daily_w84_h7,equal_cell,x_cm,2047,11492.744330417552
2023,6,daily_w84_h7,equal_cell,z_cm,2047,8095.881860505314
2023,7,uncorrected,capped_pitch_count,x_cm,1187,44404.60410283281
2023,7,uncorrected,capped_pitch_count,z_cm,1187,16454.04821268859
2023,7,uncorrected,equal_cell,x_cm,1187,42931.614967328096
2023,7,uncorrected,equal_cell,z_cm,1187,16101.381898873879
2023,7,last_month,capped_pitch_count,x_cm,1187,6051.595338928317
2023,7,last_month,capped_pitch_count,z_cm,1187,4260.636772715639
2023,7,last_month,equal_cell,x_cm,1187,5871.012924222117
2023,7,last_month,equal_cell,z_cm,1187,4142.35160148059
2023,7,daily_w84_h7,capped_pitch_count,x_cm,1187,6047.242277989009
2023,7,daily_w84_h7,capped_pitch_count,z_cm,1187,4230.61057708402
2023,7,daily_w84_h7,equal_cell,x_cm,1187,5862.018172228241
2023,7,daily_w84_h7,equal_cell,z_cm,1187,4114.732321109725
2023,8,uncorrected,capped_pitch_count,x_cm,1853,55861.254323180685
2023,8,uncorrected,capped_pitch_count,z_cm,1853,26193.53951363125
2023,8,uncorrected,equal_cell,x_cm,1853,54728.631928162475
2023,8,uncorrected,equal_cell,z_cm,1853,25516.352818568343
2023,8,last_month,capped_pitch_count,x_cm,1853,12129.745643329608
2023,8,last_month,capped_pitch_count,z_cm,1853,7087.590604522233
2023,8,last_month,equal_cell,x_cm,1853,11862.358702676263
2023,8,last_month,equal_cell,z_cm,1853,6879.955375652007
2023,8,daily_w84_h7,capped_pitch_count,x_cm,1853,10398.123352057843
2023,8,daily_w84_h7,capped_pitch_count,z_cm,1853,6961.44938580053
2023,8,daily_w84_h7,equal_cell,x_cm,1853,10168.872229835091
2023,8,daily_w84_h7,equal_cell,z_cm,1853,6762.390228875728
2023,9,uncorrected,capped_pitch_count,x_cm,1695,56620.66031893641
2023,9,uncorrected,capped_pitch_count,z_cm,1695,18426.396890907923
2023,9,uncorrected,equal_cell,x_cm,1695,55062.32919904606
2023,9,uncorrected,equal_cell,z_cm,1695,17794.451246393568
2023,9,last_month,capped_pitch_count,x_cm,1695,9465.741337297744
2023,9,last_month,capped_pitch_count,z_cm,1695,7018.539746642477
2023,9,last_month,equal_cell,x_cm,1695,9195.19548598862
2023,9,last_month,equal_cell,z_cm,1695,6749.185095295876
2023,9,daily_w84_h7,capped_pitch_count,x_cm,1695,9275.259159731297
2023,9,daily_w84_h7,capped_pitch_count,z_cm,1695,7039.509817869431
2023,9,daily_w84_h7,equal_cell,x_cm,1695,9008.481190023032
2023,9,daily_w84_h7,equal_cell,z_cm,1695,6770.893340238759
2024,5,uncorrected,capped_pitch_count,x_cm,2122,72907.07793252009
2024,5,uncorrected,capped_pitch_count,z_cm,2122,32297.20028534488
2024,5,uncorrected,equal_cell,x_cm,2122,71382.06744138063
2024,5,uncorrected,equal_cell,z_cm,2122,31530.885214586066
2024,5,last_month,capped_pitch_count,x_cm,2122,16570.917700353653
2024,5,last_month,capped_pitch_count,z_cm,2122,13771.400831133611
2024,5,last_month,equal_cell,x_cm,2122,16243.435049215706
2024,5,last_month,equal_cell,z_cm,2122,13460.378554943343
2024,5,daily_w84_h7,capped_pitch_count,x_cm,2122,15893.343226597104
2024,5,daily_w84_h7,capped_pitch_count,z_cm,2122,13948.885523583125
2024,5,daily_w84_h7,equal_cell,x_cm,2122,15563.822332690756
2024,5,daily_w84_h7,equal_cell,z_cm,2122,13632.984614346038
2024,6,uncorrected,capped_pitch_count,x_cm,2111,76071.53015264326
2024,6,uncorrected,capped_pitch_count,z_cm,2111,43624.80054485203
2024,6,uncorrected,equal_cell,x_cm,2111,74602.01318577059
2024,6,uncorrected,equal_cell,z_cm,2111,42517.30757447204
2024,6,last_month,capped_pitch_count,x_cm,2111,15339.232941646638
2024,6,last_month,capped_pitch_count,z_cm,2111,15449.265763956835
2024,6,last_month,equal_cell,x_cm,2111,15017.241244487832
2024,6,last_month,equal_cell,z_cm,2111,15081.440231557674
2024,6,daily_w84_h7,capped_pitch_count,x_cm,2111,13038.820044396156
2024,6,daily_w84_h7,capped_pitch_count,z_cm,2111,14955.08709508905
2024,6,daily_w84_h7,equal_cell,x_cm,2111,12772.239143175313
2024,6,daily_w84_h7,equal_cell,z_cm,2111,14606.356806981543
2024,7,uncorrected,capped_pitch_count,x_cm,1599,48342.92524682997
2024,7,uncorrected,capped_pitch_count,z_cm,1599,27025.91548640971
2024,7,uncorrected,equal_cell,x_cm,1599,46995.21407195294
2024,7,uncorrected,equal_cell,z_cm,1599,26344.834759631227
2024,7,last_month,capped_pitch_count,x_cm,1599,11334.416918744211
2024,7,last_month,capped_pitch_count,z_cm,1599,11185.933102086336
2024,7,last_month,equal_cell,x_cm,1599,11007.84690329772
2024,7,last_month,equal_cell,z_cm,1599,10869.912710368131
2024,7,daily_w84_h7,capped_pitch_count,x_cm,1599,9708.17439675302
2024,7,daily_w84_h7,capped_pitch_count,z_cm,1599,10388.700731274106
2024,7,daily_w84_h7,equal_cell,x_cm,1599,9429.667892020489
2024,7,daily_w84_h7,equal_cell,z_cm,1599,10074.070578834595
2024,8,uncorrected,capped_pitch_count,x_cm,1728,63764.19966872498
2024,8,uncorrected,capped_pitch_count,z_cm,1728,33881.82063137744
2024,8,uncorrected,equal_cell,x_cm,1728,62729.787943073876
2024,8,uncorrected,equal_cell,z_cm,1728,33056.744175176995
2024,8,last_month,capped_pitch_count,x_cm,1728,14002.801424076142
2024,8,last_month,capped_pitch_count,z_cm,1728,14811.829939408119
2024,8,last_month,equal_cell,x_cm,1728,13707.663367208273
2024,8,last_month,equal_cell,z_cm,1728,14460.950934998447
2024,8,daily_w84_h7,capped_pitch_count,x_cm,1728,12628.666199436957
2024,8,daily_w84_h7,capped_pitch_count,z_cm,1728,13414.041967916317
2024,8,daily_w84_h7,equal_cell,x_cm,1728,12356.08242201081
2024,8,daily_w84_h7,equal_cell,z_cm,1728,13087.15314597798
2024,9,uncorrected,capped_pitch_count,x_cm,1649,55419.71346065658
2024,9,uncorrected,capped_pitch_count,z_cm,1649,34474.83543955658
2024,9,uncorrected,equal_cell,x_cm,1649,54223.51129656526
2024,9,uncorrected,equal_cell,z_cm,1649,33609.670341960446
2024,9,last_month,capped_pitch_count,x_cm,1649,14962.374341634306
2024,9,last_month,capped_pitch_count,z_cm,1649,16702.277662676483
2024,9,last_month,equal_cell,x_cm,1649,14646.204149705914
2024,9,last_month,equal_cell,z_cm,1649,16207.45556971808
2024,9,daily_w84_h7,capped_pitch_count,x_cm,1649,14760.860920994226
2024,9,daily_w84_h7,capped_pitch_count,z_cm,1649,15921.647071671076
2024,9,daily_w84_h7,equal_cell,x_cm,1649,14443.66328751232
2024,9,daily_w84_h7,equal_cell,z_cm,1649,15442.966280926907
2025,5,uncorrected,capped_pitch_count,x_cm,1929,105124.85482283086
2025,5,uncorrected,capped_pitch_count,z_cm,1929,51879.13355530074
2025,5,uncorrected,equal_cell,x_cm,1929,102615.65448808995
2025,5,uncorrected,equal_cell,z_cm,1929,50588.157071696834
2025,5,last_month,capped_pitch_count,x_cm,1929,34335.9223914907
2025,5,last_month,capped_pitch_count,z_cm,1929,32599.025514395307
2025,5,last_month,equal_cell,x_cm,1929,33536.378275506315
2025,5,last_month,equal_cell,z_cm,1929,31828.055476481088
2025,5,daily_w84_h7,capped_pitch_count,x_cm,1929,24977.090001568286
2025,5,daily_w84_h7,capped_pitch_count,z_cm,1929,28928.489325976145
2025,5,daily_w84_h7,equal_cell,x_cm,1929,24317.18281660264
2025,5,daily_w84_h7,equal_cell,z_cm,1929,28185.949344738197
2025,6,uncorrected,capped_pitch_count,x_cm,1592,73963.6808222302
2025,6,uncorrected,capped_pitch_count,z_cm,1592,73863.8738238663
2025,6,uncorrected,equal_cell,x_cm,1592,71982.03451110845
2025,6,uncorrected,equal_cell,z_cm,1592,71576.99195358143
2025,6,last_month,capped_pitch_count,x_cm,1592,17628.154732341405
2025,6,last_month,capped_pitch_count,z_cm,1592,25437.934871540892
2025,6,last_month,equal_cell,x_cm,1592,17174.894155946688
2025,6,last_month,equal_cell,z_cm,1592,24684.483497866262
2025,6,daily_w84_h7,capped_pitch_count,x_cm,1592,13136.57335706779
2025,6,daily_w84_h7,capped_pitch_count,z_cm,1592,17759.27110520414
2025,6,daily_w84_h7,equal_cell,x_cm,1592,12810.803764486707
2025,6,daily_w84_h7,equal_cell,z_cm,1592,17257.106397783566
2025,7,uncorrected,capped_pitch_count,x_cm,1611,68165.02463509869
2025,7,uncorrected,capped_pitch_count,z_cm,1611,49631.69408757014
2025,7,uncorrected,equal_cell,x_cm,1611,66268.50194581205
2025,7,uncorrected,equal_cell,z_cm,1611,48694.99991491652
2025,7,last_month,capped_pitch_count,x_cm,1611,12789.585722293948
2025,7,last_month,capped_pitch_count,z_cm,1611,17101.448096736207
2025,7,last_month,equal_cell,x_cm,1611,12353.084187139342
2025,7,last_month,equal_cell,z_cm,1611,16720.886091736415
2025,7,daily_w84_h7,capped_pitch_count,x_cm,1611,11950.54065311106
2025,7,daily_w84_h7,capped_pitch_count,z_cm,1611,16961.585686765626
2025,7,daily_w84_h7,equal_cell,x_cm,1611,11550.975259488394
2025,7,daily_w84_h7,equal_cell,z_cm,1611,16576.13214450806
2025,8,uncorrected,capped_pitch_count,x_cm,2144,88513.61664854483
2025,8,uncorrected,capped_pitch_count,z_cm,2144,67928.60644676011
2025,8,uncorrected,equal_cell,x_cm,2144,86977.0811685978
2025,8,uncorrected,equal_cell,z_cm,2144,66628.25989689465
2025,8,last_month,capped_pitch_count,x_cm,2144,19112.881131018858
2025,8,last_month,capped_pitch_count,z_cm,2144,21646.68423080263
2025,8,last_month,equal_cell,x_cm,2144,18790.133935158767
2025,8,last_month,equal_cell,z_cm,2144,21248.562844342236
2025,8,daily_w84_h7,capped_pitch_count,x_cm,2144,18108.841042480857
2025,8,daily_w84_h7,capped_pitch_count,z_cm,2144,20920.845664416862
2025,8,daily_w84_h7,equal_cell,x_cm,2144,17819.740648592488
2025,8,daily_w84_h7,equal_cell,z_cm,2144,20522.425956721898
2025,9,uncorrected,capped_pitch_count,x_cm,1488,59945.77388478161
2025,9,uncorrected,capped_pitch_count,z_cm,1488,41309.63531805412
2025,9,uncorrected,equal_cell,x_cm,1488,58099.55221387694
2025,9,uncorrected,equal_cell,z_cm,1488,40010.61618240256
2025,9,last_month,capped_pitch_count,x_cm,1488,11007.518741243615
2025,9,last_month,capped_pitch_count,z_cm,1488,18138.1863691802
2025,9,last_month,equal_cell,x_cm,1488,10692.766866940085
2025,9,last_month,equal_cell,z_cm,1488,17639.831767243602
2025,9,daily_w84_h7,capped_pitch_count,x_cm,1488,10381.032165491568
2025,9,daily_w84_h7,capped_pitch_count,z_cm,1488,16060.66997955203
2025,9,daily_w84_h7,equal_cell,x_cm,1488,10069.854133976125
2025,9,daily_w84_h7,equal_cell,z_cm,1488,15629.156789149449
