season,month,model,park,n,x_sse,z_sse
2020,7,uncorrected,고척,170,4362.476626179372,6046.16455487112
2020,7,uncorrected,광주,199,2429.7801432895644,1898.0571264566918
2020,7,uncorrected,대구,236,4020.7319811096154,2200.339842054088
2020,7,uncorrected,대전구,187,14161.881123695719,1026.9991090095305
2020,7,uncorrected,문학,168,6921.640960590268,1775.0854521696456
2020,7,uncorrected,사직,146,2168.234293359712,2033.2864241238801
2020,7,uncorrected,수원,181,12596.570951822358,2243.4540002276644
2020,7,uncorrected,잠실,296,10546.373473180534,4269.112569446166
2020,7,uncorrected,창원,152,7176.412187478884,1306.7450027112318
2020,7,last_month,고척,170,1631.559172200478,1051.36544832358
2020,7,last_month,광주,199,1302.274897807585,827.7538514429805
2020,7,last_month,대구,236,2295.903253481049,1478.6248663756387
2020,7,last_month,대전구,187,1369.1703922163051,697.6596088797812
2020,7,last_month,문학,168,1243.5859679676919,1064.4556028746288
2020,7,last_month,사직,146,995.6363141679317,760.8039043123013
2020,7,last_month,수원,181,2111.313457681032,1047.3686139692836
2020,7,last_month,잠실,296,1730.8830144564388,1489.5140937562078
2020,7,last_month,창원,152,1430.2022782810056,825.4304710938014
2020,7,season_to_date,고척,170,1639.8952648600243,1063.2288437954571
2020,7,season_to_date,광주,199,1492.9157659765447,820.6044527709682
2020,7,season_to_date,대구,236,2402.8344500090307,1481.0979277450356
2020,7,season_to_date,대전구,187,2799.2421280152366,721.2611909642928
2020,7,season_to_date,문학,168,1401.9426993842744,1074.7620520238518
2020,7,season_to_date,사직,146,1073.6746386133677,756.6358892992323
2020,7,season_to_date,수원,181,1933.9884200620668,1056.1564323376626
2020,7,season_to_date,잠실,296,1959.36253454102,1465.3066141262923
2020,7,season_to_date,창원,152,1365.195526597818,825.8805566278747
2020,7,ewma_w2_h0.25,고척,170,1629.505478459914,1051.8464799867904
2020,7,ewma_w2_h0.25,광주,199,1312.0701110757068,826.6570469772851
2020,7,ewma_w2_h0.25,대구,236,2298.4927541232964,1477.6372910597524
2020,7,ewma_w2_h0.25,대전구,187,1433.7067421641264,699.9307632581215
2020,7,ewma_w2_h0.25,문학,168,1252.1595279930023,1065.1991019102368
2020,7,ewma_w2_h0.25,사직,146,991.3256929193451,760.0429264814927
2020,7,ewma_w2_h0.25,수원,181,2069.730882979474,1048.2024365898924
2020,7,ewma_w2_h0.25,잠실,296,1747.3218070844664,1484.0644539891302
2020,7,ewma_w2_h0.25,창원,152,1421.7159555863698,825.0433083621447
2020,7,ewma_w2_h0.5,고척,170,1628.6819866763967,1054.3948169038763
2020,7,ewma_w2_h0.5,광주,199,1345.7342342796876,824.2820058835628
2020,7,ewma_w2_h0.5,대구,236,2325.6114365396124,1475.5073849598643
2020,7,ewma_w2_h0.5,대전구,187,1767.9998389736602,707.1608993225473
2020,7,ewma_w2_h0.5,문학,168,1290.0125765030957,1067.4084117901746
2020,7,ewma_w2_h0.5,사직,146,998.4618597102603,758.5565654533359
2020,7,ewma_w2_h0.5,수원,181,1999.6994001099138,1050.4783102782774
2020,7,ewma_w2_h0.5,잠실,296,1810.1473608515632,1473.8585489198397
2020,7,ewma_w2_h0.5,창원,152,1403.7310505410069,824.694546438589
2020,7,ewma_w2_h1,고척,170,1633.2260245024938,1058.6084363029177
2020,7,ewma_w2_h1,광주,199,1390.6928098100075,822.3724351038651
2020,7,ewma_w2_h1,대구,236,2378.321148844737,1473.8072741262072
2020,7,ewma_w2_h1,대전구,187,2316.2842449499485,716.2959461417009
2020,7,ewma_w2_h1,문학,168,1348.1581466043774,1070.045794336291
2020,7,ewma_w2_h1,사직,146,1027.862981033655,757.5935023268335
2020,7,ewma_w2_h1,수원,181,1972.1450134922313,1052.9838383529527
2020,7,ewma_w2_h1,잠실,296,1899.7802283387857,1467.9441964658577
2020,7,ewma_w2_h1,창원,152,1389.8334339152652,825.1175676639236
2020,7,ewma_w2_h2,고척,170,1638.5015703309014,1062.019721113037
2020,7,ewma_w2_h2,광주,199,1424.1964095236403,821.3719633438511
2020,7,ewma_w2_h2,대구,236,2423.1219168224975,1472.923420465785
2020,7,ewma_w2_h2,대전구,187,2758.9608991511395,722.9291292763231
2020,7,ewma_w2_h2,문학,168,1394.0304972794142,1071.9063682473493
2020,7,ewma_w2_h2,사직,146,1056.4247851735458,757.2179274512073
2020,7,ewma_w2_h2,수원,181,1973.6958109227362,1054.6722560672138
2020,7,ewma_w2_h2,잠실,296,1968.4934012869583,1466.1196016348608
2020,7,ewma_w2_h2,창원,152,1382.8649155906514,825.7303336443044
2020,7,ewma_w2_h3,고척,170,1640.7950133770146,1063.364870367992
2020,7,ewma_w2_h3,광주,199,1437.021275824025,821.0502783757806
2020,7,ewma_w2_h3,대구,236,2441.071967260014,1472.6406507361578
2020,7,ewma_w2_h3,대전구,187,2933.357581921233,725.442963238011
2020,7,ewma_w2_h3,문학,168,1411.9586384468298,1072.6033743861358
2020,7,ewma_w2_h3,사직,146,1068.3227236529383,757.1237790062428
2020,7,ewma_w2_h3,수원,181,1977.4924983352998,1055.2926447341745
2020,7,ewma_w2_h3,잠실,296,1995.0743176415158,1465.7957679543515
2020,7,ewma_w2_h3,창원,152,1380.6888313678378,826.0080466629234
2020,7,ewma_w3_h0.25,고척,170,1629.505478459914,1051.8464799867904
2020,7,ewma_w3_h0.25,광주,199,1312.0701110757068,826.6570469772851
2020,7,ewma_w3_h0.25,대구,236,2298.4927541232964,1477.6372910597524
2020,7,ewma_w3_h0.25,대전구,187,1433.7067421641264,699.9307632581215
2020,7,ewma_w3_h0.25,문학,168,1252.1595279930023,1065.1991019102368
2020,7,ewma_w3_h0.25,사직,146,991.3256929193451,760.0429264814927
2020,7,ewma_w3_h0.25,수원,181,2069.730882979474,1048.2024365898924
2020,7,ewma_w3_h0.25,잠실,296,1747.3218070844664,1484.0644539891302
2020,7,ewma_w3_h0.25,창원,152,1421.7159555863698,825.0433083621447
2020,7,ewma_w3_h0.5,고척,170,1628.6819866763967,1054.3948169038763
2020,7,ewma_w3_h0.5,광주,199,1345.7342342796876,824.2820058835628
2020,7,ewma_w3_h0.5,대구,236,2325.6114365396124,1475.5073849598643
2020,7,ewma_w3_h0.5,대전구,187,1767.9998389736602,707.1608993225473
2020,7,ewma_w3_h0.5,문학,168,1290.0125765030957,1067.4084117901746
2020,7,ewma_w3_h0.5,사직,146,998.4618597102603,758.5565654533359
2020,7,ewma_w3_h0.5,수원,181,1999.6994001099138,1050.4783102782774
2020,7,ewma_w3_h0.5,잠실,296,1810.1473608515632,1473.8585489198397
2020,7,ewma_w3_h0.5,창원,152,1403.7310505410069,824.694546438589
2020,7,ewma_w3_h1,고척,170,1633.2260245024938,1058.6084363029177
2020,7,ewma_w3_h1,광주,199,1390.6928098100075,822.3724351038651
2020,7,ewma_w3_h1,대구,236,2378.321148844737,1473.8072741262072
2020,7,ewma_w3_h1,대전구,187,2316.2842449499485,716.2959461417009
