season,model,metric,median_absolute,p90_absolute,p95_absolute,trimmed_rmse
2020,daily_w84_h7,x_cm,1.7108749853694434,4.846469194490997,6.013907841099266,2.696028243088726
2020,daily_w84_h7,z_cm,1.3423099126889007,3.790326447219922,4.8248885689047185,2.1473838004548194
2020,last_month,x_cm,1.720047581925047,4.89316533550409,6.161956946434033,2.7653737402039043
2020,last_month,z_cm,1.357786748512595,3.800528882187834,4.936272289037213,2.168782645865348
2020,uncorrected,x_cm,4.096545234033153,10.319397967457366,12.235011889963271,5.961747459212735
2020,uncorrected,z_cm,2.3745685110281123,6.3623480238580195,8.094331925887763,3.654394134819745
2021,daily_w84_h7,x_cm,1.6962806058311697,4.556733565568732,5.686840942519953,2.59387719464797
2021,daily_w84_h7,z_cm,1.3128966995587277,3.6219110465555824,4.5815388825898475,2.063677089615784
2021,last_month,x_cm,1.6832982924598316,4.575208813972937,5.6996328955261015,2.604133620800088
2021,last_month,z_cm,1.3242973369336504,3.633086074761345,4.624879201276979,2.067139735563972
2021,uncorrected,x_cm,4.076749112667465,10.08522622645681,12.052492190909833,5.884928822592185
2021,uncorrected,z_cm,2.1554532878489887,5.856363042638971,7.380181914572803,3.3498815398678485
2022,daily_w84_h7,x_cm,1.4109377988013925,3.737169287625439,4.714385260937102,2.1480980941619587
2022,daily_w84_h7,z_cm,1.2278853632582596,3.2334786108819675,4.046597395321635,1.858919875938201
2022,last_month,x_cm,1.457817378583898,3.7627818834305615,4.749552567123975,2.167898361295761
2022,last_month,z_cm,1.2269435008101723,3.277446521168042,4.065248404841682,1.8692460682879217
2022,uncorrected,x_cm,3.690128173971178,9.036819072334703,10.999925026808112,5.250694421958775
2022,uncorrected,z_cm,2.0800016827724868,5.601956481765558,7.04389352202489,3.212148229720442
2023,daily_w84_h7,x_cm,1.4557430378135834,3.8300179660929197,4.728460789651603,2.182237556975344
2023,daily_w84_h7,z_cm,1.1338378129377347,3.1873265017972288,3.9997559672113843,1.8065244691587878
2023,last_month,x_cm,1.460490927371442,3.910395733654402,4.859387226768785,2.2317886591231058
2023,last_month,z_cm,1.1451618331379585,3.2563043184834957,4.042982838748308,1.8178042754593517
2023,uncorrected,x_cm,3.8347374230858335,9.463108810171835,11.633338600395744,5.519045746703818
2023,uncorrected,z_cm,2.135401881792344,5.646335229035674,7.04355198699635,3.247199036407203
2024,daily_w84_h7,x_cm,1.5866126394233364,4.333597799487014,5.433573486248218,2.4674531815599487
2024,daily_w84_h7,z_cm,1.612600073728558,4.394088193706164,5.4086546785739245,2.485432467575397
2024,last_month,x_cm,1.6595568059582746,4.54964583686055,5.674777671515949,2.5870045848516634
2024,last_month,z_cm,1.6383355996932352,4.517682848771691,5.66007152510649,2.5678660607742456
2024,uncorrected,x_cm,3.4021169068795283,9.840115152664627,12.268747712680385,5.526969401830739
2024,uncorrected,z_cm,2.690810493589396,7.06784921782353,8.671221533593329,4.042762038830875
2025,daily_w84_h7,x_cm,1.7946132522935652,4.8283438256448505,5.92979136344601,2.728256328717505
2025,daily_w84_h7,z_cm,2.0492606519927286,5.485938601655371,6.770874850611931,3.136720946959122
2025,last_month,x_cm,1.9149649147641081,5.270133203389484,6.600347303038925,2.992235919560117
2025,last_month,z_cm,2.154892738464987,5.939226934206199,7.230553494869751,3.337036624749683
2025,uncorrected,x_cm,3.556909086895173,11.156973877050666,14.462587320163333,6.179573503686263
2025,uncorrected,z_cm,3.335090313776675,9.495250539663687,11.731678450269163,5.328585472176083
