model,x_cm,z_cm,combined,n,fallback_pct,period
weekly_w84_h14,2.6601858148892243,2.3604964037709295,2.5148093209976516,32713.0,0.0,development_2020_2024
weekly_w56_h14,2.661017626071728,2.3608211676887194,2.5154016967545703,32713.0,0.0,development_2020_2024
weekly_w56_h28,2.6677128015150777,2.363386529094865,2.5201475628695333,32713.0,0.0,development_2020_2024
weekly_w56_h28_huber,2.667252886837135,2.364346717816666,2.5203544755045337,32713.0,0.0,development_2020_2024
weekly_w28_h14,2.6669801196450647,2.3661847857054483,2.521072529568114,32713.0,1.2166417020756275,development_2020_2024
weekly_w28_h28,2.668536601897801,2.366401661590768,2.5219976625333946,32713.0,1.2166417020756275,development_2020_2024
weekly_w84_h28_huber,2.6697632196502536,2.36561148343034,2.5222760891241447,32713.0,0.0,development_2020_2024
weekly_w84_h28,2.671128346526087,2.364877717958043,2.5226546795498614,32713.0,0.0,development_2020_2024
weekly_w28_h28_huber,2.6694682608557803,2.367440509421884,2.5229779390006697,32713.0,1.2166417020756275,development_2020_2024
weekly_w28_hflat,2.671274004567639,2.367592333895297,2.524004582701724,32713.0,1.2166417020756275,development_2020_2024
weekly_w56_hflat,2.6822667879936155,2.3695517493688647,2.53074402250708,32713.0,0.0,development_2020_2024
monthly_w56_h14,2.688980410264228,2.3748440191468836,2.536779430898802,32713.0,0.0,development_2020_2024
monthly_w84_h14,2.6897766077683003,2.375774103696129,2.5376367738006445,32713.0,0.0,development_2020_2024
monthly_w56_h28_huber,2.6925838207942476,2.374408072372629,2.5384858997196784,32713.0,0.0,development_2020_2024
monthly_w28_h28,2.6904707937700065,2.3776413149583813,2.5388788189598994,32713.0,0.0,development_2020_2024
monthly_w28_h14,2.689994023228854,2.378496391975635,2.539026676863407,32713.0,0.0,development_2020_2024
monthly_w28_h28_huber,2.691558612539375,2.3771884264058185,2.5392432513814676,32713.0,0.0,development_2020_2024
monthly_w56_h28,2.694344272208553,2.374173815275561,2.539310178210133,32713.0,0.0,development_2020_2024
monthly_w28_hflat,2.691919028225666,2.3781522411741105,2.539885443944752,32713.0,0.0,development_2020_2024
