season,park,measurement_profile_id,pitches
2020,고척,naver_pts_v1,268
2020,고척,,303
2020,광주,naver_pts_v1,160
2020,광주,,560
2020,대구,naver_pts_v1,296
2020,대구,,12
2020,대전구,naver_pts_v1,202
2020,대전구,,660
2020,문학,naver_pts_v1,217
2020,문학,,519
2020,사직,naver_pts_v1,176
2020,사직,,673
2020,수원,naver_pts_v1,196
2020,수원,,670
2020,잠실,naver_pts_v1,468
2020,잠실,,909
2020,창원,naver_pts_v1,195
2020,창원,,591
2021,고척,naver_pts_v1,233
2021,고척,,35
2021,광주,naver_pts_v1,167
2021,광주,,1156
2021,대구,naver_pts_v1,302
2021,대구,,939
2021,대전구,naver_pts_v1,220
2021,대전구,,913
2021,문학,naver_pts_v1,211
2021,문학,,747
2021,사직,naver_pts_v1,255
2021,사직,,1423
2021,수원,naver_pts_v1,203
2021,수원,,1598
2021,잠실,naver_pts_v1,500
2021,잠실,,2140
2021,창원,naver_pts_v1,245
2021,창원,,1274
2022,고척,naver_pts_v1,300
2022,고척,,2765
2022,광주,naver_pts_v1,226
2022,광주,,1403
2022,대구,naver_pts_v1,257
2022,대구,,2047
2022,대전구,naver_pts_v1,241
2022,대전구,,627
2022,문학,naver_pts_v1,218
2022,문학,,1108
2022,사직,naver_pts_v1,254
2022,사직,,2789
2022,수원,naver_pts_v1,224
2022,수원,,1474
2022,울산,,633
2022,잠실,naver_pts_v1,468
2022,잠실,,1455
2022,창원,naver_pts_v1,213
2022,창원,,1667
2022,포항,,1038
2023,고척,naver_pts_v1,258
2023,고척,,1422
2023,광주,naver_pts_v1,183
2023,광주,,1745
2023,대구,naver_pts_v1,243
2023,대구,,2130
2023,대전구,naver_pts_v1,228
2023,대전구,,2475
2023,문학,naver_pts_v1,207
2023,문학,,29
2023,사직,naver_pts_v1,227
2023,사직,,913
2023,수원,naver_pts_v1,207
2023,수원,,1525
2023,울산,,1934
2023,잠실,naver_pts_v1,367
2023,잠실,,613
2023,창원,naver_pts_v1,225
2023,창원,,2856
2023,포항,,1969
2024,고척,naver_pts_v1,262
2024,고척,,7
2024,광주,naver_pts_v1,286
2024,광주,,13
2024,대구,naver_pts_v1,294
2024,대구,,28
2024,대전구,naver_pts_v1,301
2024,대전구,,88
2024,문학,naver_pts_v1,321
2024,문학,,352
2024,사직,naver_pts_v1,292
2024,사직,,15
2024,수원,naver_pts_v1,292
2024,수원,,19
2024,울산,naver_pts_v1,13
2024,이천(두산),,614
2024,잠실,naver_pts_v1,533
2024,잠실,,88
2024,창원,naver_pts_v1,261
2024,창원,,5
2024,청주,naver_pts_v1,9
2024,청주,,643
2024,포항,naver_pts_v1,5
2024,포항,,1
2025,고척,naver_pts_v1,300
2025,고척,,3
2025,광주,naver_pts_v1,262
2025,광주,,7
2025,대구,naver_pts_v1,358
2025,대구,,4
2025,대전신,naver_pts_v1,370
2025,대전신,,5
2025,문학,naver_pts_v1,327
2025,문학,,7
2025,사직,naver_pts_v1,352
2025,사직,,25
2025,수원,naver_pts_v1,266
2025,수원,,17
2025,울산,naver_pts_v1,24
2025,울산,,2
2025,잠실,naver_pts_v1,615
2025,잠실,,20
2025,창원,naver_pts_v1,301
2025,창원,,7
2025,청주,naver_pts_v1,5
2025,포항,naver_pts_v1,10
