season,model,metric,n,sse,rmse
2020,annual,arrival_ms,7261,9505.533651132602,1.1441686221843652
2020,annual,depth_cm,7261,89170.43482456094,3.504388317176008
2020,annual,x_cm,7261,116934.40737290257,4.013034941100522
2020,annual,z_cm,7261,57703.79934757146,2.8190578369768917
2020,baseline,arrival_ms,7261,30602.35749605154,2.0529540255030794
2020,baseline,depth_cm,7261,296302.02226032526,6.388061511931972
2020,baseline,x_cm,7261,387425.81021975237,7.304593569004329
2020,baseline,z_cm,7261,136123.9535498046,4.3298121889713475
2020,monthly,arrival_ms,7261,5839.269860218089,0.8967699662848503
2020,monthly,depth_cm,7261,55497.49000393091,2.764639141595785
2020,monthly,x_cm,7261,108786.08599468388,3.8706905967091907
2020,monthly,z_cm,7261,58179.88333704487,2.830663237477328
2020,pitch_type,arrival_ms,7261,9466.137287338557,1.1417951160121755
2020,pitch_type,depth_cm,7261,86874.88165927018,3.4589867198529025
2020,pitch_type,x_cm,7261,112786.58766593733,3.941218478345948
2020,pitch_type,z_cm,7261,56492.086434967714,2.789302326631588
2021,annual,arrival_ms,8828,6612.298510765875,0.8654561402092822
2021,annual,depth_cm,8828,64467.1035776945,2.702327102537557
2021,annual,x_cm,8828,113770.38661016215,3.589909122677125
2021,annual,z_cm,8828,72303.93198674808,2.8618692973744717
2021,baseline,arrival_ms,8828,54401.28073371563,2.482409358399272
2021,baseline,depth_cm,8828,512084.6218138081,7.616223932694939
2021,baseline,x_cm,8828,461306.09664010274,7.228753821539829
2021,baseline,z_cm,8828,155835.73146466224,4.201480572001171
2021,monthly,arrival_ms,8828,6445.155335542802,0.8544477926158873
2021,monthly,depth_cm,8828,63009.03427299225,2.6715927080594186
2021,monthly,x_cm,8828,114226.25361368875,3.597094142847342
2021,monthly,z_cm,8828,74197.92135953975,2.8991100879697673
2021,pitch_type,arrival_ms,8828,6458.854383581729,0.855355366413565
2021,pitch_type,depth_cm,8828,59678.01433200744,2.6000159965178202
2021,pitch_type,x_cm,8828,108507.6183216131,3.5058953896531673
2021,pitch_type,z_cm,8828,70899.20004368827,2.83393252278335
2022,annual,arrival_ms,8770,6290.808993446017,0.8469415761787865
2022,annual,depth_cm,8770,59968.22423757166,2.614934396328239
2022,annual,x_cm,8770,68044.67561736816,2.785462251830093
2022,annual,z_cm,8770,57739.42432780644,2.565880511010836
