season,fold,model,metric,n,sse
2020,0,baseline,x_cm,1364,72674.27240631216
2020,0,baseline,z_cm,1364,23736.92264672507
2020,0,baseline,depth_cm,1364,55861.172916596726
2020,0,baseline,arrival_ms,1364,5756.00170443206
2020,0,annual,x_cm,1364,22769.89009838584
2020,0,annual,z_cm,1364,10763.643850478831
2020,0,annual,depth_cm,1364,18336.75304974759
2020,0,annual,arrival_ms,1364,1923.328283716236
2020,0,monthly,x_cm,1364,19665.74535841096
2020,0,monthly,z_cm,1364,11030.279713929489
2020,0,monthly,depth_cm,1364,10167.739585763506
2020,0,monthly,arrival_ms,1364,1028.229841020626
2020,0,pitch_type,x_cm,1364,21963.989903286463
2020,0,pitch_type,z_cm,1364,10664.340462787135
2020,0,pitch_type,depth_cm,1364,18115.052962542526
2020,0,pitch_type,arrival_ms,1364,1920.7163920144917
2020,1,baseline,x_cm,1060,67480.97143510808
2020,1,baseline,z_cm,1060,19186.13602720976
2020,1,baseline,depth_cm,1060,47633.04470390695
2020,1,baseline,arrival_ms,1060,4925.336477374465
2020,1,annual,x_cm,1060,19682.487981942337
2020,1,annual,z_cm,1060,8843.560231454401
2020,1,annual,depth_cm,1060,17204.095232471605
2020,1,annual,arrival_ms,1060,1871.3601097093751
2020,1,monthly,x_cm,1060,23159.250552363326
2020,1,monthly,z_cm,1060,8778.18610484659
2020,1,monthly,depth_cm,1060,12840.771456491351
2020,1,monthly,arrival_ms,1060,1358.1048751166527
2020,1,pitch_type,x_cm,1060,19228.94393832923
2020,1,pitch_type,z_cm,1060,8592.436609217079
2020,1,pitch_type,depth_cm,1060,16706.129439724904
2020,1,pitch_type,arrival_ms,1060,1832.6563349318349
2020,2,baseline,x_cm,1502,72660.13039138458
2020,2,baseline,z_cm,1502,29052.570209962505
2020,2,baseline,depth_cm,1502,58764.77717190749
2020,2,baseline,arrival_ms,1502,5988.974669219866
2020,2,annual,x_cm,1502,20704.171774595132
2020,2,annual,z_cm,1502,12392.816496922433
2020,2,annual,depth_cm,1502,15779.549811651757
2020,2,annual,arrival_ms,1502,1689.4494603493283
2020,2,monthly,x_cm,1502,18663.022985251646
2020,2,monthly,z_cm,1502,12283.747723795284
2020,2,monthly,depth_cm,1502,10362.308976013468
2020,2,monthly,arrival_ms,1502,1109.4046954274536
2020,2,pitch_type,x_cm,1502,20287.159962156664
2020,2,pitch_type,z_cm,1502,12086.56278040495
2020,2,pitch_type,depth_cm,1502,15212.665044462587
2020,2,pitch_type,arrival_ms,1502,1682.0159714916356
2020,3,baseline,x_cm,1477,80870.89452866904
2020,3,baseline,z_cm,1477,25617.64641299582
2020,3,baseline,depth_cm,1477,58968.30107099453
2020,3,baseline,arrival_ms,1477,6343.765865262885
2020,3,annual,x_cm,1477,24116.044573436324
2020,3,annual,z_cm,1477,10841.68002879763
2020,3,annual,depth_cm,1477,18095.471964462427
2020,3,annual,arrival_ms,1477,2013.8081333866803
2020,3,monthly,x_cm,1477,21141.557032337565
2020,3,monthly,z_cm,1477,11156.537736236165
2020,3,monthly,depth_cm,1477,9545.265274706991
2020,3,monthly,arrival_ms,1477,1067.922429232658
2020,3,pitch_type,x_cm,1477,22902.387841771502
2020,3,pitch_type,z_cm,1477,10626.740753747707
2020,3,pitch_type,depth_cm,1477,17771.441219198154
2020,3,pitch_type,arrival_ms,1477,2030.0744239334256
2020,4,baseline,x_cm,1858,93739.5414582785
2020,4,baseline,z_cm,1858,38530.67825291144
2020,4,baseline,depth_cm,1858,75074.72639691958
2020,4,baseline,arrival_ms,1858,7588.278779762262
2020,4,annual,x_cm,1858,29661.812944542937
2020,4,annual,z_cm,1858,14862.098739918169
2020,4,annual,depth_cm,1858,19754.56476622756
2020,4,annual,arrival_ms,1858,2007.5876639709816
2020,4,monthly,x_cm,1858,26156.510066320378
2020,4,monthly,z_cm,1858,14931.132058237341
2020,4,monthly,depth_cm,1858,12581.40471095559
2020,4,monthly,arrival_ms,1858,1275.6080194206988
2020,4,pitch_type,x_cm,1858,28404.106020393476
2020,4,pitch_type,z_cm,1858,14522.005828810843
2020,4,pitch_type,depth_cm,1858,19069.592993341997
2020,4,pitch_type,arrival_ms,1858,2000.6741649671694
2021,0,baseline,x_cm,1700,89141.1677781176
2021,0,baseline,z_cm,1700,30437.182985100946
2021,0,baseline,depth_cm,1700,101829.15530797266
2021,0,baseline,arrival_ms,1700,11028.915285589574
2021,0,annual,x_cm,1700,21016.95404461507
2021,0,annual,z_cm,1700,12769.136621310836
2021,0,annual,depth_cm,1700,11240.265005829291
2021,0,annual,arrival_ms,1700,1163.2209978151786
2021,0,monthly,x_cm,1700,21474.906672286495
2021,0,monthly,z_cm,1700,12953.707584976743
2021,0,monthly,depth_cm,1700,10875.564898344188
2021,0,monthly,arrival_ms,1700,1099.0610773144028
2021,0,pitch_type,x_cm,1700,19939.069234511837
2021,0,pitch_type,z_cm,1700,12509.653512482017
2021,0,pitch_type,depth_cm,1700,10179.34163722999
2021,0,pitch_type,arrival_ms,1700,1123.159620516497
2021,1,baseline,x_cm,1970,103605.24858998008
2021,1,baseline,z_cm,1970,33430.505266426786
2021,1,baseline,depth_cm,1970,121987.73981646469
2021,1,baseline,arrival_ms,1970,12644.389610342094
2021,1,annual,x_cm,1970,24516.768839039443
2021,1,annual,z_cm,1970,17119.475590358026
2021,1,annual,depth_cm,1970,15527.731168847247
2021,1,annual,arrival_ms,1970,1544.7247330385783
2021,1,monthly,x_cm,1970,24200.917421382685
2021,1,monthly,z_cm,1970,17756.051469937953
2021,1,monthly,depth_cm,1970,15672.202620797358
2021,1,monthly,arrival_ms,1970,1561.3307377640358
2021,1,pitch_type,x_cm,1970,23576.28427903178
2021,1,pitch_type,z_cm,1970,16855.317798831617
2021,1,pitch_type,depth_cm,1970,14342.332296445888
2021,1,pitch_type,arrival_ms,1970,1515.5816852167502
2021,2,baseline,x_cm,1586,87214.26651897724
2021,2,baseline,z_cm,1586,27169.254343215085
2021,2,baseline,depth_cm,1586,96496.76826940093
2021,2,baseline,arrival_ms,1586,10089.91692613228
2021,2,annual,x_cm,1586,20319.56495114655
2021,2,annual,z_cm,1586,12612.35628332576
2021,2,annual,depth_cm,1586,11052.297090960918
2021,2,annual,arrival_ms,1586,1102.849009826534
2021,2,monthly,x_cm,1586,20016.885470884423
2021,2,monthly,z_cm,1586,12888.471584531948
2021,2,monthly,depth_cm,1586,10813.958037893373
2021,2,monthly,arrival_ms,1586,1091.689694120958
2021,2,pitch_type,x_cm,1586,19284.410129452946
2021,2,pitch_type,z_cm,1586,12448.727256719467
2021,2,pitch_type,depth_cm,1586,10084.156018772235
2021,2,pitch_type,arrival_ms,1586,1079.150959524515
2021,3,baseline,x_cm,1839,93816.07683624687
2021,3,baseline,z_cm,1839,33966.6980140871
2021,3,baseline,depth_cm,1839,94723.11096568283
2021,3,baseline,arrival_ms,1839,9981.506079879795
2021,3,annual,x_cm,1839,23382.918349732485
2021,3,annual,z_cm,1839,14838.439975628533
2021,3,annual,depth_cm,1839,13652.636883302324
2021,3,annual,arrival_ms,1839,1377.5156188012388
2021,3,monthly,x_cm,1839,23954.986874925486
2021,3,monthly,z_cm,1839,15193.612328696974
2021,3,monthly,depth_cm,1839,13022.749808372791
2021,3,monthly,arrival_ms,1839,1300.8673664640291
2021,3,pitch_type,x_cm,1839,22408.123101622306
2021,3,pitch_type,z_cm,1839,14541.657966847415
2021,3,pitch_type,depth_cm,1839,12936.471360048406
2021,3,pitch_type,arrival_ms,1839,1346.6305762975094
2021,4,baseline,x_cm,1733,87529.33691678097
2021,4,baseline,z_cm,1733,30832.090855832324
2021,4,baseline,depth_cm,1733,97047.84745428698
2021,4,baseline,arrival_ms,1733,10656.552831771885
2021,4,annual,x_cm,1733,24534.180425628598
2021,4,annual,z_cm,1733,14964.523516124933
2021,4,annual,depth_cm,1733,12994.173428754717
2021,4,annual,arrival_ms,1733,1423.9881512843453
2021,4,monthly,x_cm,1733,24578.55717420966
2021,4,monthly,z_cm,1733,15406.078391396122
2021,4,monthly,depth_cm,1733,12624.558907584538
2021,4,monthly,arrival_ms,1733,1392.2064598793768
2021,4,pitch_type,x_cm,1733,23299.73157699423
2021,4,pitch_type,z_cm,1733,14543.843508807757
2021,4,pitch_type,depth_cm,1733,12135.713019510922
2021,4,pitch_type,arrival_ms,1733,1394.331542026458
2022,0,baseline,x_cm,1699,66195.09297063206
2022,0,baseline,z_cm,1699,31465.859218051628
2022,0,baseline,depth_cm,1699,96164.38720282738
2022,0,baseline,arrival_ms,1699,10186.356664772453
2022,0,annual,x_cm,1699,13133.684335787351
2022,0,annual,z_cm,1699,13545.182660571325
2022,0,annual,depth_cm,1699,11620.812089125715
2022,0,annual,arrival_ms,1699,1169.6079930166343
2022,0,monthly,x_cm,1699,13376.662825488349
2022,0,monthly,z_cm,1699,14311.971850721879
2022,0,monthly,depth_cm,1699,11381.620775041072
2022,0,monthly,arrival_ms,1699,1158.5945460225873
2022,0,pitch_type,x_cm,1699,12388.885312199916
2022,0,pitch_type,z_cm,1699,13127.424249989177
2022,0,pitch_type,depth_cm,1699,10499.765387847734
2022,0,pitch_type,arrival_ms,1699,1130.6161924248934
2022,1,baseline,x_cm,1997,79258.22094413666
2022,1,baseline,z_cm,1997,29360.419761064986
2022,1,baseline,depth_cm,1997,115957.51802784811
2022,1,baseline,arrival_ms,1997,12594.875215644643
2022,1,annual,x_cm,1997,15865.905246793347
2022,1,annual,z_cm,1997,12212.435656855158
2022,1,annual,depth_cm,1997,13222.42845032788
2022,1,annual,arrival_ms,1997,1425.0276897097442
2022,1,monthly,x_cm,1997,16319.844074577457
2022,1,monthly,z_cm,1997,12547.769475711304
2022,1,monthly,depth_cm,1997,13647.435581690988
2022,1,monthly,arrival_ms,1997,1429.6927280285524
2022,1,pitch_type,x_cm,1997,14913.064203143975
2022,1,pitch_type,z_cm,1997,11926.7158228677
2022,1,pitch_type,depth_cm,1997,12215.987098423126
2022,1,pitch_type,arrival_ms,1997,1334.1978656545841
2022,2,baseline,x_cm,1886,80446.49110340246
2022,2,baseline,z_cm,1886,24972.563706372373
2022,2,baseline,depth_cm,1886,98693.50365824389
2022,2,baseline,arrival_ms,1886,10725.288693873119
2022,2,annual,x_cm,1886,14847.799402379693
2022,2,annual,z_cm,1886,11937.667086112373
2022,2,annual,depth_cm,1886,14012.739464531453
2022,2,annual,arrival_ms,1886,1400.3485228357195
2022,2,monthly,x_cm,1886,15043.619832782042
2022,2,monthly,z_cm,1886,12561.723497014651
2022,2,monthly,depth_cm,1886,14424.837266780385
