season,park,actual,linked,valid,games
2020,고척,25478,25175,24907,85
2020,광주,23293,22733,22573,75
2020,대구,23491,23479,23183,75
2020,대전구,23202,22542,22340,75
2020,문학,23172,22653,22436,76
2020,사직,22551,21878,21702,75
2020,수원,22751,22081,21885,75
2020,잠실,45869,44960,44492,152
2020,창원,23750,23159,22964,75
2021,고척,23087,23052,22819,76
2021,광주,23384,22228,22061,76
2021,대구,23641,22702,22400,78
2021,대전구,23517,22604,22384,75
2021,문학,23142,22395,22184,74
2021,사직,23605,22182,21927,76
2021,수원,23491,21893,21690,77
2021,잠실,47575,45435,44935,158
2021,창원,23687,22413,22168,77
2022,고척,26621,23856,23556,91
2022,광주,23725,22322,22096,78
2022,대구,23470,21423,21166,78
2022,대전구,23524,22897,22656,75
2022,문학,23756,22648,22430,81
2022,사직,23621,20832,20578,79
2022,수원,24335,22861,22637,83
2022,울산,633,0,0,2
2022,잠실,45460,44005,43537,152
2022,창원,24217,22550,22337,80
2022,포항,1038,0,0,3
2023,고척,24589,23167,22909,80
2023,광주,23031,21286,21103,78
2023,대구,21973,19843,19600,74
2023,대전구,25290,22815,22587,82
2023,문학,22821,22792,22585,74
2023,사직,23818,22905,22678,78
2023,수원,26108,24583,24376,86
2023,울산,1934,0,0,6
2023,잠실,45417,44804,44437,150
2023,창원,26022,23166,22941,84
2023,포항,1969,0,0,6
2024,고척,21891,21884,21622,73
2024,광주,24502,24489,24203,80
2024,대구,24794,24766,24472,81
2024,대전구,23037,22949,22648,74
2024,문학,24320,23968,23647,78
2024,사직,22563,22548,22256,72
2024,수원,24145,24126,23834,79
2024,울산,1158,1158,1145,4
2024,이천(두산),614,0,0,2
2024,잠실,47839,47751,47218,155
2024,창원,24648,24643,24382,79
2024,청주,1546,903,894,5
2024,포항,589,588,583,2
2025,고척,22269,22266,21966,75
2025,광주,22013,22006,21744,73
2025,대구,24220,24216,23858,80
2025,대전신,24008,24003,23633,81
2025,문학,24564,24557,24230,81
2025,사직,24766,24741,24389,80
2025,수원,23373,23356,23090,78
2025,울산,2299,2297,2273,8
2025,잠실,44826,44806,44191,149
2025,창원,21244,21237,20936,69
2025,청주,584,584,579,2
2025,포항,888,888,878,3
