season,stadium,cross_plate_y,pitches,games,first,last
2024,고척,0.7083,21884,73,2024-03-29,2024-09-24
2024,광주,0.7083,24489,80,2024-03-16,2024-10-28
2024,대구,0.7083,24766,81,2024-03-11,2024-10-26
2024,대전,0.7083,22949,74,2024-03-09,2024-09-29
2024,문학,0.7083,23968,77,2024-03-15,2024-09-30
2024,사직,0.7083,22548,72,2024-03-09,2024-09-28
2024,수원,0.7083,24126,79,2024-03-09,2024-10-09
2024,울산,0.7083,1158,4,2024-07-16,2024-08-03
2024,잠실,0.7083,47703,155,2024-03-14,2024-10-19
2024,잠실,1.4167,48,1,2024-03-14,2024-03-14
2024,창원,0.7083,24643,79,2024-03-09,2024-10-01
2024,청주,0.7083,903,3,2024-06-20,2024-08-21
2024,포항,0.7083,588,2,2024-08-20,2024-08-21
2025,고척,0.7083,21153,71,2025-03-28,2025-09-30
2025,고척,1.4167,1113,4,2025-03-15,2025-03-18
2025,광주,0.7083,21427,71,2025-03-22,2025-10-04
2025,광주,1.4167,579,2,2025-03-15,2025-03-16
2025,대구,0.7083,22393,74,2025-03-22,2025-10-22
2025,대구,1.4167,1823,6,2025-03-08,2025-03-14
2025,대전,0.7083,10715,36,2025-07-25,2025-10-31
2025,대전(신),0.7083,13118,44,2025-03-28,2025-07-12
2025,대전(신),1.4167,170,1,2025-03-17,2025-03-17
2025,문학,0.7083,22730,75,2025-03-22,2025-10-11
2025,문학,1.4167,1827,6,2025-03-10,2025-03-16
2025,사직,0.7083,23090,74,2025-03-28,2025-09-26
2025,사직,1.4167,1651,6,2025-03-08,2025-03-14
2025,수원,0.7083,21810,73,2025-03-22,2025-10-03
2025,수원,1.4167,1546,5,2025-03-08,2025-03-17
2025,울산,0.7083,2297,8,2025-05-17,2025-09-25
2025,잠실,0.7083,43954,146,2025-03-22,2025-10-27
2025,잠실,1.4167,852,3,2025-03-13,2025-03-17
2025,창원,0.7083,19147,62,2025-03-28,2025-10-04
2025,창원,1.4167,2090,7,2025-03-08,2025-03-16
2025,청주,1.4167,584,2,2025-03-08,2025-03-09
2025,포항,0.7083,888,3,2025-05-13,2025-05-15
